NOM_COM;Lev2_NE_ID;NOM;NE_ID;sum_pop_active_epci;Date;Duree;Type;volume_nuitee;total_volume_nuitee;sum_vol_nuitee_per_date_com;mean_com_vol_nuitee;tx_nuite_pop_active
Poitiers;806463;CU du Grand Poitiers;700793;63238.0;2024-01-07;Inf30min;National;20.0;5009522.0;20.0;20.0;0.03
Chasseneuil-du-Poitou;805901;CU du Grand Poitiers;700793;63238.0;2023-12-26;Inf30min;National;27.0;5009522.0;27.0;27.0;0.04
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2023-11-28;Inf30min;Etranger;28.0;5009522.0;28.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2023-12-01;Inf30min;Etranger;27.0;5009522.0;27.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2023-12-02;Inf30min;Etranger;22.0;5009522.0;22.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2023-12-14;Inf30min;Etranger;32.0;5009522.0;32.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2023-12-15;Inf30min;National;30.0;5009522.0;30.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2023-12-19;Inf30min;Etranger;68.0;5009522.0;68.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2023-12-23;Inf30min;National;37.0;5009522.0;37.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2023-12-28;Inf30min;Etranger;22.0;5009522.0;47.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2023-12-28;Inf30min;National;25.0;5009522.0;47.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2023-12-29;Inf30min;Etranger;53.0;5009522.0;53.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2023-12-30;Inf30min;National;36.0;5009522.0;36.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2023-12-31;Inf30min;National;42.0;5009522.0;42.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2024-01-04;Inf30min;Etranger;46.0;5009522.0;46.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2024-01-12;Inf30min;Etranger;26.0;5009522.0;26.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2024-01-13;Inf30min;Etranger;22.0;5009522.0;22.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2024-01-16;Inf30min;Etranger;22.0;5009522.0;22.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2024-01-18;Inf30min;Etranger;24.0;5009522.0;24.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2024-01-23;Inf30min;Etranger;49.0;5009522.0;49.0;35.89;0.05
Limoges;825733;CU Limoges MÃ©tropole;700443;65524.0;2024-01-25;Inf30min;Etranger;24.0;5009522.0;24.0;35.89;0.05
Balledent;826003;CC Gartempe - Saint Pardoux;700961;1398.0;2023-12-10;Inf30min;Etranger;27.0;5009522.0;27.0;27.0;1.93
Magnac-Laval;825737;CC Haut Limousin en Marche;701027;5292.0;2024-01-07;Inf30min;Etranger;22.0;5009522.0;22.0;22.0;0.42
Le Dorat;825709;CC Haut Limousin en Marche;701027;5292.0;2023-12-15;Inf30min;National;23.0;5009522.0;23.0;23.0;0.43
Saint-Martial-sur-Isop;826498;CC Haut Limousin en Marche;701027;5292.0;2024-01-07;Inf30min;Etranger;25.0;5009522.0;25.0;25.0;0.47
Val d'Issoire;825754;CC Haut Limousin en Marche;701027;5292.0;2024-01-07;Inf30min;Etranger;58.0;5009522.0;58.0;58.0;1.1
Colondannes;803324;CC Monts et VallÃ©es Ouest Creuse;700142;6084.0;2023-12-23;Inf30min;Etranger;22.0;5009522.0;22.0;22.0;0.36
Saint-Sulpice-le-Guérétois;819515;CA du Grand GuÃ©ret;700753;9240.0;2023-12-02;Inf30min;Etranger;24.0;5009522.0;24.0;31.4;0.34
Saint-Sulpice-le-Guérétois;819515;CA du Grand GuÃ©ret;700753;9240.0;2023-12-16;Inf30min;Etranger;23.0;5009522.0;23.0;31.4;0.34
Saint-Sulpice-le-Guérétois;819515;CA du Grand GuÃ©ret;700753;9240.0;2023-12-20;Inf30min;Etranger;50.0;5009522.0;50.0;31.4;0.34
Saint-Sulpice-le-Guérétois;819515;CA du Grand GuÃ©ret;700753;9240.0;2024-01-05;Inf30min;Etranger;35.0;5009522.0;35.0;31.4;0.34
Saint-Sulpice-le-Guérétois;819515;CA du Grand GuÃ©ret;700753;9240.0;2024-01-06;Inf30min;Etranger;25.0;5009522.0;25.0;31.4;0.34
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-11-28;Inf30min;Etranger;27.0;5009522.0;27.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-11-29;Inf30min;Etranger;30.0;5009522.0;30.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-11-30;Inf30min;Etranger;42.0;5009522.0;42.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-12-01;Inf30min;Etranger;41.0;5009522.0;41.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-12-05;Inf30min;Etranger;44.0;5009522.0;44.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-12-06;Inf30min;Etranger;49.0;5009522.0;49.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-12-07;Inf30min;Etranger;27.0;5009522.0;27.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-12-08;Inf30min;Etranger;21.0;5009522.0;21.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-12-09;Inf30min;Etranger;36.0;5009522.0;36.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-12-12;Inf30min;Etranger;24.0;5009522.0;24.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-12-14;Inf30min;Etranger;30.0;5009522.0;30.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-12-15;Inf30min;Etranger;70.0;5009522.0;70.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-12-19;Inf30min;Etranger;28.0;5009522.0;28.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-12-21;Inf30min;Etranger;24.0;5009522.0;24.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2023-12-22;Inf30min;Etranger;21.0;5009522.0;21.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2024-01-05;Inf30min;Etranger;28.0;5009522.0;28.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2024-01-06;Inf30min;Etranger;34.0;5009522.0;34.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2024-01-09;Inf30min;Etranger;37.0;5009522.0;37.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2024-01-10;Inf30min;Etranger;43.0;5009522.0;43.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2024-01-11;Inf30min;Etranger;20.0;5009522.0;20.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2024-01-17;Inf30min;Etranger;31.0;5009522.0;31.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2024-01-19;Inf30min;Etranger;30.0;5009522.0;30.0;33.57;0.36
Saint-Vaury;819519;CA du Grand GuÃ©ret;700753;9240.0;2024-01-25;Inf30min;Etranger;35.0;5009522.0;35.0;33.57;0.36
Guéret;802961;CA du Grand GuÃ©ret;700753;9240.0;2023-12-06;Inf30min;Etranger;25.0;5009522.0;25.0;26.75;0.29
Guéret;802961;CA du Grand GuÃ©ret;700753;9240.0;2023-12-22;Inf30min;National;24.0;5009522.0;24.0;26.75;0.29
Guéret;802961;CA du Grand GuÃ©ret;700753;9240.0;2024-01-20;Inf30min;National;35.0;5009522.0;35.0;26.75;0.29
Guéret;802961;CA du Grand GuÃ©ret;700753;9240.0;2024-01-26;Inf30min;Etranger;23.0;5009522.0;23.0;26.75;0.29
La Souterraine;804268;CC Monts et VallÃ©es Ouest Creuse;700142;6084.0;2023-12-21;Inf30min;Etranger;25.0;5009522.0;25.0;25.0;0.41
Saint-Amand-Magnazeix;826796;CC Gartempe - Saint Pardoux;700961;1398.0;2024-01-27;Inf30min;Etranger;22.0;5009522.0;22.0;22.0;1.57
Saint-Sornin-Leulac;826467;CC Gartempe - Saint Pardoux;700961;1398.0;2023-12-14;Inf30min;Etranger;21.0;5009522.0;21.0;26.0;1.86
Saint-Sornin-Leulac;826467;CC Gartempe - Saint Pardoux;700961;1398.0;2023-12-15;Inf30min;Etranger;31.0;5009522.0;31.0;26.0;1.86
Saint-Sornin-Leulac;826467;CC Gartempe - Saint Pardoux;700961;1398.0;2024-01-11;Inf30min;Etranger;23.0;5009522.0;23.0;26.0;1.86
Saint-Sornin-Leulac;826467;CC Gartempe - Saint Pardoux;700961;1398.0;2024-01-12;Inf30min;Etranger;21.0;5009522.0;21.0;26.0;1.86
Saint-Sornin-Leulac;826467;CC Gartempe - Saint Pardoux;700961;1398.0;2024-01-18;Inf30min;Etranger;32.0;5009522.0;32.0;26.0;1.86
Saint-Sornin-Leulac;826467;CC Gartempe - Saint Pardoux;700961;1398.0;2024-01-23;Inf30min;Etranger;28.0;5009522.0;28.0;26.0;1.86
Bessines-sur-Gartempe;826032;CC Elan Limousin Avenir Nature;701138;9747.0;2024-01-18;Inf30min;Etranger;31.0;5009522.0;31.0;27.5;0.28
Bessines-sur-Gartempe;826032;CC Elan Limousin Avenir Nature;701138;9747.0;2024-01-23;Inf30min;Etranger;24.0;5009522.0;24.0;27.5;0.28
Razès;826775;CC Elan Limousin Avenir Nature;701138;9747.0;2024-01-24;Inf30min;Etranger;24.0;5009522.0;24.0;24.0;0.25
Rilhac-Rancon;826781;CU Limoges MÃ©tropole;700443;65524.0;2024-01-25;Inf30min;Etranger;44.0;5009522.0;44.0;44.0;0.07
Le Palais-sur-Vienne;826594;CU Limoges MÃ©tropole;700443;65524.0;2023-12-22;Inf30min;National;23.0;5009522.0;23.0;23.0;0.04
